,frame number,row_coordinate
0,3507,155
1,3508,599
2,3509,155
3,3510,479
4,3511,479
5,3512,599
6,3513,490
7,3514,490
8,3515,599
9,3516,155
10,3517,479
11,3518,599
12,3519,479
13,3520,479
14,3521,599
15,3522,152
16,3523,152
17,3524,152
18,3525,152
19,3526,152
20,3527,152
21,3528,153
22,3529,152
23,3530,152
24,3531,152
25,3532,152
26,3533,150
27,3534,599
28,3535,150
29,3536,152
30,3537,599
31,3538,152
32,3539,151
33,3540,599
34,3541,151
35,3542,151
36,3543,149
37,3544,148
38,3545,151
39,3546,150
40,3547,152
41,3548,151
42,3549,150
43,3550,147
44,3551,150
45,3552,152
46,3553,151
47,3554,149
48,3555,149
49,3556,147
50,3557,146
51,3558,150
52,3559,150
53,3560,151
54,3561,149
55,3562,146
56,3563,150
57,3564,152
58,3565,151
59,3566,147
60,3567,146
61,3568,152
62,3569,152
63,3570,151
64,3571,145
65,3572,144
66,3573,151
67,3574,150
68,3575,147
69,3576,151
70,3577,153
71,3578,153
72,3579,152
73,3580,153
74,3581,152
75,3582,148
76,3583,148
77,3584,155
78,3585,155
79,3586,154
80,3587,151
81,3588,151
82,3589,154
83,3590,153
84,3591,152
85,3592,150
86,3593,150
87,3594,151
88,3595,152
89,3596,152
90,3597,152
91,3598,151
92,3599,148
93,3600,148
94,3601,152
95,3602,154
96,3603,155
97,3604,154
98,3605,154
99,3606,152
100,3607,150
101,3608,149
102,3609,157
103,3610,157
104,3611,156
105,3612,152
106,3613,152
107,3614,154
108,3615,155
109,3616,151
110,3617,149
111,3618,155
112,3619,154
113,3620,155
114,3621,154
115,3622,153
116,3623,153
117,3624,153
118,3625,153
119,3626,153
120,3627,153
121,3628,152
122,3629,153
123,3630,153
124,3631,153
125,3632,153
126,3633,153
127,3634,152
128,3635,153
129,3636,153
130,3637,152
131,3638,151
132,3639,153
133,3640,153
134,3641,153
135,3642,152
136,3643,153
137,3644,153
138,3645,150
139,3646,150
140,3647,153
141,3648,153
142,3649,155
143,3650,154
144,3651,155
145,3652,156
146,3653,156
147,3654,156
148,3655,157
149,3656,157
150,3657,156
151,3658,151
152,3659,155
153,3660,155
154,3661,157
155,3662,155
156,3663,155
157,3664,155
158,3665,154
159,3666,156
160,3667,156
161,3668,155
162,3669,156
163,3670,156
164,3671,157
165,3672,156
166,3673,156
167,3674,155
168,3675,153
169,3676,153
170,3677,152
171,3678,151
172,3679,151
173,3680,150
174,3681,150
175,3682,151
176,3683,149
177,3684,149
178,3685,149
179,3686,141
180,3687,149
181,3688,150
182,3689,141
183,3690,135
184,3691,141
185,3692,149
186,3693,151
187,3694,150
188,3695,151
189,3696,142
190,3697,151
191,3698,152
192,3699,151
193,3700,151
194,3701,152
195,3702,152
196,3703,149
197,3704,149
198,3705,152
199,3706,152
200,3707,151
201,3708,151
202,3709,151
203,3710,153
204,3711,151
205,3712,151
206,3713,151
207,3714,149
208,3715,149
209,3716,153
210,3717,153
211,3718,153
212,3719,154
213,3720,153
214,3721,152
215,3722,110
216,3723,154
217,3724,154
218,3725,154
219,3726,155
220,3727,155
221,3728,151
222,3729,155
223,3730,153
224,3731,155
225,3732,155
226,3733,155
227,3734,153
228,3735,153
229,3736,151
230,3737,149
231,3738,149
232,3739,149
233,3740,149
234,3741,149
235,3742,142
236,3743,149
237,3744,148
238,3745,148
239,3746,134
240,3747,149
241,3748,149
242,3749,141
243,3750,149
244,3751,148
245,3752,148
246,3753,149
247,3754,141
248,3755,147
249,3756,149
250,3757,144
251,3758,143
252,3759,150
253,3760,149
254,3761,142
255,3762,144
256,3763,145
257,3764,148
258,3765,148
259,3766,149
260,3767,148
261,3768,148
262,3769,148
263,3770,143
264,3771,140
265,3772,150
266,3773,150
267,3774,145
268,3775,142
269,3776,141
270,3777,142
271,3778,148
272,3779,146
273,3780,144
274,3781,152
275,3782,149
276,3783,148
277,3784,148
278,3785,147
279,3786,155
280,3787,154
281,3788,154
282,3789,151
283,3790,149
284,3791,150
285,3792,149
286,3793,148
287,3794,146
288,3795,153
289,3796,149
290,3797,148
291,3798,147
292,3799,145
293,3800,146
294,3801,144
295,3802,142
296,3803,143
297,3804,143
298,3805,145
299,3806,145
300,3807,140
301,3808,138
302,3809,137
303,3810,137
304,3811,138
305,3812,137
306,3813,137
307,3814,137
308,3815,137
309,3816,135
310,3817,137
311,3818,135
312,3819,135
313,3820,135
314,3821,135
